Returns
22.0
11.0
15.0
10.0
10.0
15.0
12.0
11.0
19.0
10.0
15.0
10.0
17.0
12.0
12.0
10.0
16.0
14.0
9.0
19.0
18.0
13.0
16.0
22.0
33.0
17.0
30.0
27.0
23.0
43.0
48.0
36.0
22.0
78.0
39.0
38.0
36.0
113.0
34.0
48.0
72.0
35.0
31.0
52.0
64.0
48.0
34.0
137.0
38.0
43.0
32.0
166.0
60.0
56.0
56.0
54.0
99.0
52.0
76.0
42.0
55.0
68.0
45.0
56.0
83.0
48.0
63.0
15.0
39.0
18.0
41.0
22.0
30.0
21.0
26.0
25.0
25.0
24.0
18.0
15.0
10.0
20.0
26.0
19.0
15.0
15.0
11.0
24.0
29.0
16.0
23.0
26.0
15.0
22.0
20.0
31.0
26.0
22.0
32.0
33.0
41.0
22.0
27.0
27.0
51.0
33.0
44.0
50.0
49.0
47.0
83.0
73.0
79.0
47.0
60.0
125.0
50.0
42.0
95.0
75.0
72.0
64.0
34.0
59.0
47.0
47.0
49.0
68.0
72.0
42.0
37.0
44.0
39.0
51.0
31.0
37.0
53.0
36.0
19.0
32.0
26.0
37.0
35.0
33.0
46.0
26.0
25.0
19.0
25.0
28.0
30.0
27.0
39.0
25.0
38.0
37.0
18.0
44.0
46.0
48.0
56.0
67.0
56.0
157.0
61.0
153.0
81.0
93.0
173.0
49.0
47.0
53.0
54.0
66.0
59.0
135.0
50.0
51.0
50.0
46.0
57.0
50.0
50.0
67.0
51.0
35.0
65.0
79.0
38.0
36.0
34.0
40.0
38.0
59.0
46.0
48.0
44.0
36.0
47.0
50.0
39.0
33.0
47.0
21.0
43.0
41.0
27.0
34.0
82.0
36.0
65.0
36.0
49.0
34.0
55.0
35.0
55.0
32.0
51.0
35.0
45.0
47.0
31.0
62.0
34.0
95.0
33.0
63.0
26.0
46.0
50.0
35.0
41.0
27.0
31.0
43.0
50.0
26.0
36.0
48.0
32.0
70.0
30.0
56.0
31.0
41.0
35.0
39.0
80.0
47.0
126.0
34.0
67.0
73.0
60.0
82.0
97.0
76.0
49.0
62.0
77.0
165.0
84.0
85.0
189.0
105.0
80.0
81.0
78.0
88.0
50.0
39.0
48.0
73.0
66.0
44.0
56.0
53.0
57.0
67.0
52.0
58.0
76.0
68.0
46.0
61.0
65.0
53.0
31.0
52.0
36.0
63.0
36.0
64.0
68.0
53.0
39.0
47.0
67.0
69.0
98.0
76.0
69.0
42.0
94.0
53.0
48.0
78.0
73.0
74.0
43.0
58.0
133.0
75.0
74.0
112.0
60.0
46.0
70.0
81.0
73.0
44.0
39.0
93.0
78.0
59.0
51.0
57.0
69.0
42.0
74.0
77.0
38.0
38.0
35.0
36.0
46.0
62.0
108.0
57.0
63.0
80.0
103.0
63.0
65.0
55.0
34.0
45.0
44.0
68.0
61.0
43.0
56.0
54.0
100.0
96.0
53.0
40.0
49.0
47.0
36.0
50.0
70.0
40.0
73.0
66.0
96.0
89.0
74.0
50.0
49.0
45.0
30.0
42.0
36.0
58.0
37.0
34.0
55.0
31.0
36.0
51.0
29.0
45.0
95.0
54.0
58.0
66.0
46.0
31.0
62.0
70.0
65.0
38.0
60.0
180.0
50.0
60.0
63.0
73.0
46.0
47.0
37.0
52.0
65.0
61.0
69.0
220.0
52.0
71.0
45.0
70.0
54.0
63.0
143.0
59.0
61.0
79.0
74.0
157.0
76.0
55.0
99.0
51.0
56.0
47.0
52.0
90.0
88.0
78.0
82.0
51.0
63.0
70.0
63.0
75.0
98.0
55.0
108.0
114.0
101.0
58.0
51.0
65.0
100.0
42.0
64.0
50.0
128.0
125.0
61.0
71.0
148.0
168.0
81.0
108.0
203.0
75.0
110.0
157.0
77.0
119.0
84.0
86.0
70.0
102.0
50.0
86.0
74.0
66.0
36.0
56.0
37.0
41.0
56.0
68.0
75.0
44.0
59.0
42.0
98.0
59.0
79.0
43.0
58.0
61.0
60.0
61.0
59.0
43.0
73.0
69.0
65.0
84.0
50.0
77.0
69.0
64.0
68.0
93.0
51.0
79.0
109.0
99.0
139.0
93.0
106.0
102.0
128.0
144.0
119.0
108.0
168.0
140.0
150.0
145.0
157.0
217.0
252.0
284.0
283.0
347.0
331.0
267.0
236.0
1376.0
339.0
1611.0
730.0
690.0
157.0
656.0
687.0
617.0
582.0
423.0
455.0
138.0
285.0
295.0
329.0
292.0
295.0
290.0
186.0
139.0
279.0
113.0
265.0
253.0
285.0
204.0
230.0
211.0
315.0
335.0
377.0
345.0
311.0
329.0
293.0
295.0
283.0
319.0
318.0
341.0
292.0
399.0
457.0
536.0
588.0
382.0
513.0
380.0
711.0
1727.0
831.0
343.0
795.0
154.0
644.0
489.0
406.0
347.0
257.0
296.0
450.0
307.0
109.0
138.0
54.0
48.0
181.0
48.0
32.0
119.0
104.0
45.0
78.0
40.0
