Returns
10.0
10.0
10.0
12.0
9.0
10.0
10.0
10.0
8.0
9.0
10.0
11.0
11.0
10.0
10.0
10.0
11.0
10.0
11.0
12.0
10.0
11.0
10.0
10.0
10.0
9.0
12.0
8.0
10.0
10.0
10.0
8.0
11.0
9.0
9.0
10.0
8.0
11.0
12.0
11.0
9.0
12.0
9.0
10.0
9.0
11.0
11.0
11.0
10.0
9.0
13.0
10.0
9.0
12.0
10.0
11.0
10.0
11.0
14.0
11.0
10.0
17.0
12.0
25.0
21.0
19.0
27.0
46.0
62.0
65.0
62.0
82.0
84.0
79.0
73.0
101.0
111.0
135.0
891.0
179.0
145.0
557.0
485.0
304.0
260.0
257.0
240.0
984.0
695.0
276.0
856.0
891.0
668.0
1709.0
2278.0
811.0
1139.0
510.0
983.0
1456.0
